# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = exponential_growth_model
# start_datetime = 2022-07-06 22:52:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_data_1.json
# init = 2 (Default)
# random
#   seed = 3705727063 (Default)
# output
#   file = /Users/tomroeschinger/git/resistance_evolution/processing/plate_reader/20220702_r5_MG1655_calibration/stan/exponential_growth_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_10_tau,y_0,sigma_0,tau,lambda,y_th.1,y_th.2,y_th.3,y_th.4,y_th.5,y_th.6,y_th.7,y_th.8,y_th.9,y_th.10,y_th.11,y_th.12,y_th.13,y_th.14,y_th.15,y_th.16,y_th.17,y_th.18,y_th.19,y_th.20,y_th.21,y_th.22,y_th.23,y_th.24,y_th.25,y_th.26,y_th.27,y_th.28,y_th.29,y_th.30,y_th.31,y_th.32,y_th.33,y_th.34,y_th.35,y_th.36,y_th.37,y_ppc.1,y_ppc.2,y_ppc.3,y_ppc.4,y_ppc.5,y_ppc.6,y_ppc.7,y_ppc.8,y_ppc.9,y_ppc.10,y_ppc.11,y_ppc.12,y_ppc.13,y_ppc.14,y_ppc.15,y_ppc.16,y_ppc.17,y_ppc.18,y_ppc.19,y_ppc.20,y_ppc.21,y_ppc.22,y_ppc.23,y_ppc.24,y_ppc.25,y_ppc.26,y_ppc.27,y_ppc.28,y_ppc.29,y_ppc.30,y_ppc.31,y_ppc.32,y_ppc.33,y_ppc.34,y_ppc.35,y_ppc.36,y_ppc.37
# Adaptation terminated
# Step size = 0.14298
# Diagonal elements of inverse mass matrix:
# 1.34799e-05, 6.20716e-05, 0.00150134
-49.1221,0.84326,0.14298,4,15,0,51.2367,1.93464,0.00894449,0.0137768,86.029,0.00805714,-4.04663,-3.99023,-3.93383,-3.87743,-3.82103,-3.76463,-3.70823,-3.65183,-3.59543,-3.53903,-3.48263,-3.42623,-3.36983,-3.31343,-3.25703,-3.20063,-3.14423,-3.08783,-3.03143,-2.97503,-2.91863,-2.86223,-2.80583,-2.74943,-2.69303,-2.63663,-2.58023,-2.52383,-2.46743,-2.41103,-2.35463,-2.29823,-2.24183,-2.18543,-2.12903,-2.07263,-2.01623,-4.04663,-3.99023,-3.93383,-3.87743,-3.82103,-3.76463,-3.70823,-3.65183,-3.59543,-3.53903,-3.48263,-3.42623,-3.36983,-3.31343,-3.25703,-3.20063,-3.14423,-3.08783,-3.03143,-2.97503,-2.91863,-2.86223,-2.80583,-2.74943,-2.69303,-2.63663,-2.58023,-2.52383,-2.46743,-2.41103,-2.35463,-2.29823,-2.24183,-2.18543,-2.12903,-2.07263,-2.01623
-48.8844,0.876551,0.14298,3,15,0,50.5687,1.93522,0.00896179,0.013496,86.1436,0.00804642,-4.04559,-3.98927,-3.93294,-3.87662,-3.82029,-3.76397,-3.70764,-3.65132,-3.59499,-3.53867,-3.48234,-3.42602,-3.36969,-3.31337,-3.25704,-3.20072,-3.14439,-3.08807,-3.03174,-2.97542,-2.91909,-2.86277,-2.80644,-2.75012,-2.69379,-2.63747,-2.58114,-2.52482,-2.46849,-2.41217,-2.35584,-2.29952,-2.24319,-2.18687,-2.13054,-2.07422,-2.01789,-4.04559,-3.98927,-3.93294,-3.87662,-3.82029,-3.76397,-3.70764,-3.65132,-3.59499,-3.53867,-3.48234,-3.42602,-3.36969,-3.31337,-3.25704,-3.20072,-3.14439,-3.08807,-3.03174,-2.97542,-2.91909,-2.86277,-2.80644,-2.75012,-2.69379,-2.63747,-2.58114,-2.52482,-2.46849,-2.41217,-2.35584,-2.29952,-2.24319,-2.18687,-2.13054,-2.07422,-2.01789
-48.9591,0.958762,0.14298,3,15,0,49.4922,1.93485,0.00894607,0.0135196,86.0706,0.00805324,-4.04678,-3.99041,-3.93403,-3.87766,-3.82129,-3.76492,-3.70854,-3.65217,-3.5958,-3.53943,-3.48305,-3.42668,-3.37031,-3.31393,-3.25756,-3.20119,-3.14482,-3.08844,-3.03207,-2.9757,-2.91933,-2.86295,-2.80658,-2.75021,-2.69384,-2.63746,-2.58109,-2.52472,-2.46834,-2.41197,-2.3556,-2.29923,-2.24285,-2.18648,-2.13011,-2.07374,-2.01736,-4.04678,-3.99041,-3.93403,-3.87766,-3.82129,-3.76492,-3.70854,-3.65217,-3.5958,-3.53943,-3.48305,-3.42668,-3.37031,-3.31393,-3.25756,-3.20119,-3.14482,-3.08844,-3.03207,-2.9757,-2.91933,-2.86295,-2.80658,-2.75021,-2.69384,-2.63746,-2.58109,-2.52472,-2.46834,-2.41197,-2.3556,-2.29923,-2.24285,-2.18648,-2.13011,-2.07374,-2.01736
-50.3358,0.915515,0.14298,4,15,0,50.4981,1.93323,0.00891573,0.0130691,85.749,0.00808345,-4.04766,-3.99108,-3.9345,-3.87791,-3.82133,-3.76474,-3.70816,-3.65158,-3.59499,-3.53841,-3.48182,-3.42524,-3.36866,-3.31207,-3.25549,-3.1989,-3.14232,-3.08573,-3.02915,-2.97257,-2.91598,-2.8594,-2.80281,-2.74623,-2.68965,-2.63306,-2.57648,-2.51989,-2.46331,-2.40672,-2.35014,-2.29356,-2.23697,-2.18039,-2.1238,-2.06722,-2.01064,-4.04766,-3.99108,-3.9345,-3.87791,-3.82133,-3.76474,-3.70816,-3.65158,-3.59499,-3.53841,-3.48182,-3.42524,-3.36866,-3.31207,-3.25549,-3.1989,-3.14232,-3.08573,-3.02915,-2.97257,-2.91598,-2.8594,-2.80281,-2.74623,-2.68965,-2.63306,-2.57648,-2.51989,-2.46331,-2.40672,-2.35014,-2.29356,-2.23697,-2.18039,-2.1238,-2.06722,-2.01064
-51.8879,0.614285,0.14298,1,1,0,51.9949,1.93279,0.0089172,0.0130784,85.6618,0.00809167,-4.04682,-3.99017,-3.93353,-3.87689,-3.82025,-3.76361,-3.70697,-3.65032,-3.59368,-3.53704,-3.4804,-3.42376,-3.36712,-3.31047,-3.25383,-3.19719,-3.14055,-3.08391,-3.02727,-2.97062,-2.91398,-2.85734,-2.8007,-2.74406,-2.68742,-2.63077,-2.57413,-2.51749,-2.46085,-2.40421,-2.34757,-2.29092,-2.23428,-2.17764,-2.121,-2.06436,-2.00772,-4.04682,-3.99017,-3.93353,-3.87689,-3.82025,-3.76361,-3.70697,-3.65032,-3.59368,-3.53704,-3.4804,-3.42376,-3.36712,-3.31047,-3.25383,-3.19719,-3.14055,-3.08391,-3.02727,-2.97062,-2.91398,-2.85734,-2.8007,-2.74406,-2.68742,-2.63077,-2.57413,-2.51749,-2.46085,-2.40421,-2.34757,-2.29092,-2.23428,-2.17764,-2.121,-2.06436,-2.00772
-51.6714,1,0.14298,4,15,0,53.7603,1.93392,0.00889896,0.0144314,85.8853,0.00807062,-4.05061,-3.99412,-3.93763,-3.88113,-3.82464,-3.76814,-3.71165,-3.65515,-3.59866,-3.54217,-3.48567,-3.42918,-3.37268,-3.31619,-3.25969,-3.2032,-3.14671,-3.09021,-3.03372,-2.97722,-2.92073,-2.86423,-2.80774,-2.75124,-2.69475,-2.63826,-2.58176,-2.52527,-2.46877,-2.41228,-2.35578,-2.29929,-2.2428,-2.1863,-2.12981,-2.07331,-2.01682,-4.05061,-3.99412,-3.93763,-3.88113,-3.82464,-3.76814,-3.71165,-3.65515,-3.59866,-3.54217,-3.48567,-3.42918,-3.37268,-3.31619,-3.25969,-3.2032,-3.14671,-3.09021,-3.03372,-2.97722,-2.92073,-2.86423,-2.80774,-2.75124,-2.69475,-2.63826,-2.58176,-2.52527,-2.46877,-2.41228,-2.35578,-2.29929,-2.2428,-2.1863,-2.12981,-2.07331,-2.01682
